========================================
Van der Pol Oscillator Simulation Results
========================================

Simulation Parameters:
---------------------
  mu (nonlinearity parameter) = 1.0
  x(0) (initial position)     = 1.0
  u(0) (initial velocity)     = 0.0
  dt (time step)              = 0.1
  t_max (maximum time)        = 10.0

Differential Equation:
---------------------
  d²x/dt² - μ(1-x²)(dx/dt) + x = 0
  where u = dx/dt (velocity)

========================================
Simulation Data:
========================================

 Iteration         Time    Position (x)    Velocity (u)
----------------------------------------------------------------
1              0.000000     1.000000000     0.000000000
2              0.099991     1.000000000    -0.099990845
3              0.199982     0.989990234    -0.199981689
4              0.299973     0.969985962    -0.299377441
5              0.399963     0.940048218    -0.398147583
6              0.499954     0.900222778    -0.496780396
7              0.599945     0.850540161    -0.596221924
8              0.699936     0.790908813    -0.697769165
9              0.799927     0.721130371    -0.802993774
10             0.899918     0.640823364    -0.913650513
11             0.999908     0.549453735    -1.031570435
12             1.099899     0.446304321    -1.158523560
13             1.199890     0.330459595    -1.295928955
14             1.299881     0.200866699    -1.444412231
15             1.399872     0.056427002    -1.603103638
16             1.499863    -0.103881836    -1.768539429
17             1.599854    -0.280731201    -1.933090210
18             1.699844    -0.474029541    -2.083084106
19             1.799835    -0.682327271    -2.197174072
20             1.899826    -0.902038574    -2.246368408
21             1.999817    -1.126663208    -2.198028564
22             2.099808    -1.346450806    -2.026184082
23             2.199799    -1.549057007    -1.726867676
24             2.299789    -1.721740723    -1.330322266
25             2.399780    -1.854766846    -0.896865845
26             2.499771    -1.944458008    -0.492584229
27             2.599762    -1.993713379    -0.161193848
28             2.699753    -2.009841919     0.086105347
29             2.799744    -2.001235962     0.260894775
30             2.899734    -1.975158691     0.382598877
31             2.999725    -1.936904907     0.469100952
32             3.099716    -1.889999390     0.533706665
33             3.199707    -1.836639404     0.585418701
34             3.299698    -1.778106689     0.630142212
35             3.399689    -1.715103149     0.671722412
36             3.499680    -1.647949219     0.712799072
37             3.599670    -1.576690674     0.755279541
38             3.699661    -1.501174927     0.800704956
39             3.799652    -1.421112061     0.850433350
40             3.899643    -1.336090088     0.905822754
41             3.999634    -1.245529175     0.968292236
42             4.099625    -1.148712158     1.039443970
43             4.199615    -1.044784546     1.121093750
44             4.299606    -0.932693481     1.215286255
45             4.399597    -0.811187744     1.324340820
46             4.499588    -0.678771973     1.450729370
47             4.599579    -0.533721924     1.596817017
48             4.699570    -0.374069214     1.764358521
49             4.799561    -0.197662354     1.953491211
50             4.899551    -0.002334595     2.160949707
51             4.999542     0.213729858     2.377258301
52             5.099533     0.451431274     2.582733154
53             5.199524     0.709671021     2.743209839
54             5.299515     0.983963013     2.808395386
55             5.399506     1.264770508     2.718933105
56             5.499496     1.536636353     2.429443359
57             5.599487     1.779556274     1.945114136
58             5.699478     1.974044800     1.345733643
59             5.799469     2.108596802     0.758529663
60             5.899460     2.184432983     0.286300659
61             5.999451     2.213058472    -0.040
